id,lead_key,phone,business_name,state,suburb,address,sector_level_1,sector_level_2,sector_level_3,phone_masked,phone_from_leadkey,phone_type,phone_match_score,phone_frequency,phone_quality,reachability_score,kpay_relevant,has_address,has_sector,name_suburb_dup,state_clean,reach_address,reachability,sector_score,geo_score,data_completeness,kmf_score,tier,sector_level_1_clean
2273214,L_61459484837,+61 459 484 837,Scoopia Gelato & Coffee,NSW,port macquarie,"72 Clarence St, Port Macquarie NSW 2444, Australia",F&B,Cafe & Dessert,Ice cream shop,False,61459484837,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,35.0,1,10,86.0,Tier 1,F&B
2312824,L_61242265595,61242265595,Illawarra Production Services (Ips),NSW,auburn,"47 Auburn St, Wollongong NSW 2500 ",Retail,Electronics & Appliances,Audio visual consultant,False,61242265595,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,10,10,81.0,Tier 1,Retail
2312856,L_61248226992,61248226992,Your Home Matters,NSW,auburn,"266 Auburn St, Goulburn NSW 2580 ",Retail,Fashion & Accessories,Clothing store,False,61248226992,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,10,10,81.0,Tier 1,Retail
2312835,L_61245877450,61245877450,Carvery & Burger Co,NSW,sydney,227 George Street 2756 Sydney,F&B,Quick-Service / Takeaway,Fast Food,False,61245877450,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,35.0,5,10,85.0,Tier 1,F&B
2312861,L_61266467788,61266467788,C.T.D Fresh Meats,NSW,campsie,148 Evaline Street 2194 Sydney - Campsie,Retail,Grocery / Convenience Store,Butcher,False,61266467788,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,15,10,86.0,Tier 1,Retail
2312863,L_61267669127,61267669127,Metro Petroleum Tamworth,NSW,parramatta,148 Pennant Street 2151 Sydney - North Parramatta,Retail,Grocery / Convenience Store,Groceries,False,61267669127,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,15,10,86.0,Tier 1,Retail
2312937,L_61280905346,61280905346,Impact Style Salon,NSW,parramatta,89 Masdern Street Parramatta  NSW  2150,Beauty & Wellness,Beauty Salon / Barber,Salon,False,61280905346,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,15,10,86.0,Tier 1,Beauty & Wellness
2273595,L_61413878455,+61 413 878 455,Ruvi'S Kitchen,NSW,box hill,"20 Outback St, Box Hill NSW 2765, Australia",F&B,Others,Food producer,False,61413878455,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,35.0,1,10,86.0,Tier 1,F&B
2273602,L_61432111072,+61 432 111 072,Jai Maa,NSW,south golden beach,"10B Elizabeth Ave, South Golden Beach NSW 2483, Australia",F&B,Cafe & Dessert,Tea store,False,61432111072,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,35.0,1,10,86.0,Tier 1,F&B
2312942,L_61280958636,61280958636,Wheel Cup Cake Catering,NSW,sydney,"75 O Alexandria, Sydney NSW 2015",F&B,Dine-in Restaurant,Cafe,False,61280958636,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,35.0,5,10,85.0,Tier 1,F&B
2313010,L_61283281444,61283281444,Zero 4 Energy,NSW,strathfield,5 George Street 2137 Sydney - North Strathfield,Retail,Grocery / Convenience Store,Butcher,False,61283281444,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,26.0,15,10,86.0,Tier 1,Retail
2313069,L_61286298858,61286298858,Almas Wetherill Park,NSW,wetherill park,"Greenway Wetherill Park, 1187 The Horsley Dr, Wetherill Park, New South Wales, 2164, Australia",F&B,Others,Food & drink,False,61286298858,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,35.0,1,10,81.0,Tier 1,F&B
2313072,L_61286322225,61286322225,Mgirl Kitchen,NSW,bella vista,"Unit 125/14 Lexington Dr, Bella Vista, New South Wales, 2153, Australia",F&B,Others,Food & drink,False,61286322225,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,35.0,1,10,81.0,Tier 1,F&B
2273794,L_61247517511,+61 2 4751 7511,Scribbly Gum,NSW,leura,"40 Rawson Parade, Leura NSW 2780, Australia",F&B,Others,Self-catering accommodation,False,61247517511,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,35.0,1,10,81.0,Tier 1,F&B
2313112,L_61288148351,61288148351,Kebabchi,NSW,sydney,"Diya Foods Pty Ltd, 22/33 Holbeche Road, Arndell Park Sydney NSW 2148",F&B,Dine-in Restaurant,Restaurants,False,61288148351,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,35.0,5,10,85.0,Tier 1,F&B
2273921,L_61497869415,+61 497 869 415,Emily’S Little Creations,NSW,tamworth,"22 Denison St, Tamworth NSW 2340, Australia",F&B,Others,Catering food and drink supplier,False,61497869415,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,35.0,1,10,86.0,Tier 1,F&B
2313217,L_61292110946,61292110946,Malaya On George,NSW,sydney,761 George Street Sydney  NSW  2000,F&B,Dine-in Restaurant,Restaurant,False,61292110946,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,35.0,5,10,85.0,Tier 1,F&B
2273990,L_61490153893,+61 490 153 893,What Da Heck Kombucha & Kefir Water,NSW,broadmeadow,"Griffiths Rd, Broadmeadow NSW 2292, Australia",Others,Others,Beverage distributor,False,61490153893,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,35.0,1,10,86.0,Tier 1,F&B
2313283,L_61292232355,61292232355,Chrysler Cafe Bar Group,NSW,sydney,6 O Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,False,61292232355,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,35.0,5,10,85.0,Tier 1,F&B
2313291,L_61292239649,61292239649,Chifley Cantina,NSW,sydney,2 Chifley Square Sydney  NSW  2000,F&B,Dine-in Restaurant,Restaurant,False,61292239649,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,35.0,5,10,85.0,Tier 1,F&B
2313313,L_61292316976,61292316976,Il Gianfornaio,NSW,sydney,Skygarden Castlereagh St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,False,61292316976,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,35.0,5,10,85.0,Tier 1,F&B
2274119,L_61472751712,+61 472 751 712,A3 (World Square),NSW,sydney,"Shop T 9.45/644 George St, Sydney NSW 2000, Australia",F&B,Cafe & Dessert,Coffee store,False,61472751712,mobile,1.0,1,Level 3,30,True,True,True,False,NSW,10,40,35.0,5,10,90.0,Tier 1,F&B
2313342,L_61292335950,61292335950,Pie Face Blith Street,NSW,sydney,Lvl1/ 6 O Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,False,61292335950,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,35.0,5,10,85.0,Tier 1,F&B
2313374,L_61292416766,61292416766,Guillaume At Bennelong,NSW,sydney,Bennelong Point Sydney  NSW  2000,F&B,Dine-in Restaurant,Restaurant,False,61292416766,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,35.0,5,10,85.0,Tier 1,F&B
2313370,L_61292414010,61292414010,Settlement On Quay,NSW,sydney,Shp 1/ 33 Alfred St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,False,61292414010,landline,1.0,1,Level 3,25,True,True,True,False,NSW,10,35,35.0,5,10,85.0,Tier 1,F&B
